participantId,langAbv,lang,trialNum,termNum,colorNum,name,displayName,match,colorSpace,r,g,b,rgbSet,studyVersion,instructionsLocale,browserLocale,background
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,2,5,pastelblue,pastel blue,no,rgb,52,45,121,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,2,6,pastelblue,pastel blue,no,rgb,118,219,102,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,2,7,pastelblue,pastel blue,no,rgb,43,3,71,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,3,0,pinkishpurple,pinkish purple,no,rgb,236,205,69,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,3,1,pinkishpurple,pinkish purple,no,rgb,159,96,247,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,3,2,pinkishpurple,pinkish purple,no,rgb,226,175,195,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,3,3,pinkishpurple,pinkish purple,no,rgb,209,8,112,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,3,4,pinkishpurple,pinkish purple,no,rgb,191,148,248,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,3,5,pinkishpurple,pinkish purple,no,rgb,52,45,121,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,3,6,pinkishpurple,pinkish purple,no,rgb,118,219,102,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,3,7,pinkishpurple,pinkish purple,no,rgb,43,3,71,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,0,0,pinkishbrown,pinkish brown,no,rgb,147,187,180,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,0,1,pinkishbrown,pinkish brown,no,rgb,138,240,205,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,0,2,pinkishbrown,pinkish brown,no,rgb,102,120,153,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,0,3,pinkishbrown,pinkish brown,no,rgb,218,107,98,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,0,4,pinkishbrown,pinkish brown,no,rgb,222,131,173,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,0,5,pinkishbrown,pinkish brown,no,rgb,118,202,185,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,0,6,pinkishbrown,pinkish brown,no,rgb,237,139,151,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,0,7,pinkishbrown,pinkish brown,no,rgb,223,77,131,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,1,0,neongreen,neon green,no,rgb,147,187,180,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,1,1,neongreen,neon green,no,rgb,138,240,205,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,1,2,neongreen,neon green,no,rgb,102,120,153,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,1,3,neongreen,neon green,no,rgb,218,107,98,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,1,4,neongreen,neon green,no,rgb,222,131,173,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,1,5,neongreen,neon green,no,rgb,118,202,185,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,1,6,neongreen,neon green,no,rgb,237,139,151,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,1,7,neongreen,neon green,no,rgb,223,77,131,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,2,0,yellowgreen,yellow green,no,rgb,147,187,180,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,2,1,yellowgreen,yellow green,no,rgb,138,240,205,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,2,2,yellowgreen,yellow green,no,rgb,102,120,153,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,2,3,yellowgreen,yellow green,no,rgb,218,107,98,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,2,4,yellowgreen,yellow green,no,rgb,222,131,173,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,2,5,yellowgreen,yellow green,no,rgb,118,202,185,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,2,6,yellowgreen,yellow green,no,rgb,237,139,151,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,2,7,yellowgreen,yellow green,no,rgb,223,77,131,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,3,0,purple,purple,no,rgb,147,187,180,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,3,1,purple,purple,no,rgb,138,240,205,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,3,2,purple,purple,no,rgb,102,120,153,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,3,3,purple,purple,no,rgb,218,107,98,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,3,4,purple,purple,no,rgb,222,131,173,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,3,5,purple,purple,no,rgb,118,202,185,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,3,6,purple,purple,no,rgb,237,139,151,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),5,3,7,purple,purple,no,rgb,223,77,131,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,0,0,redbrown,red brown,no,rgb,235,144,166,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,0,1,redbrown,red brown,no,rgb,49,111,97,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,0,2,redbrown,red brown,somewhat,rgb,176,55,66,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,0,3,redbrown,red brown,no,rgb,0,1,5,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,0,4,redbrown,red brown,no,rgb,134,130,207,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,0,5,redbrown,red brown,somewhat,rgb,49,21,25,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,0,6,redbrown,red brown,no,rgb,85,61,151,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,0,7,redbrown,red brown,no,rgb,245,110,60,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,1,0,highlightergreen,highlighter green,no,rgb,235,144,166,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,1,1,highlightergreen,highlighter green,somewhat,rgb,49,111,97,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,1,2,highlightergreen,highlighter green,no,rgb,176,55,66,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,1,3,highlightergreen,highlighter green,no,rgb,0,1,5,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,1,4,highlightergreen,highlighter green,no,rgb,134,130,207,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,1,5,highlightergreen,highlighter green,no,rgb,49,21,25,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,1,6,highlightergreen,highlighter green,no,rgb,85,61,151,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,1,7,highlightergreen,highlighter green,no,rgb,245,110,60,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,2,0,brightgreen,bright green,no,rgb,235,144,166,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,2,1,brightgreen,bright green,somewhat,rgb,49,111,97,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,2,2,brightgreen,bright green,no,rgb,176,55,66,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,2,3,brightgreen,bright green,no,rgb,0,1,5,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,2,4,brightgreen,bright green,no,rgb,134,130,207,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,2,5,brightgreen,bright green,no,rgb,49,21,25,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,2,6,brightgreen,bright green,no,rgb,85,61,151,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,2,7,brightgreen,bright green,no,rgb,245,110,60,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,3,0,mintgreen,mint green,no,rgb,235,144,166,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,3,1,mintgreen,mint green,somewhat,rgb,49,111,97,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,3,2,mintgreen,mint green,no,rgb,176,55,66,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,3,3,mintgreen,mint green,no,rgb,0,1,5,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,3,4,mintgreen,mint green,no,rgb,134,130,207,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,3,5,mintgreen,mint green,no,rgb,49,21,25,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,3,6,mintgreen,mint green,no,rgb,85,61,151,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),1,3,7,mintgreen,mint green,no,rgb,245,110,60,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,0,0,green,green,no,rgb,127,123,125,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,0,1,green,green,no,rgb,235,3,217,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,0,2,green,green,no,rgb,157,117,227,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,0,3,green,green,no,rgb,206,49,107,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,0,4,green,green,no,rgb,149,77,206,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,0,5,green,green,no,rgb,209,176,145,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,0,6,green,green,no,rgb,161,45,80,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,0,7,green,green,no,rgb,197,149,176,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,1,0,pink,pink,no,rgb,127,123,125,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,1,1,pink,pink,yes,rgb,235,3,217,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,1,2,pink,pink,no,rgb,157,117,227,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,1,3,pink,pink,somewhat,rgb,206,49,107,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,1,4,pink,pink,no,rgb,149,77,206,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,1,5,pink,pink,no,rgb,209,176,145,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,1,6,pink,pink,no,rgb,161,45,80,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,1,7,pink,pink,yes,rgb,197,149,176,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,2,0,purple,purple,no,rgb,127,123,125,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,2,1,purple,purple,somewhat,rgb,235,3,217,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,2,2,purple,purple,yes,rgb,157,117,227,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,2,3,purple,purple,no,rgb,206,49,107,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,2,4,purple,purple,yes,rgb,149,77,206,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,2,5,purple,purple,no,rgb,209,176,145,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,2,6,purple,purple,no,rgb,161,45,80,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,2,7,purple,purple,somewhat,rgb,197,149,176,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,3,0,greenapple,green apple,no,rgb,127,123,125,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,3,1,greenapple,green apple,no,rgb,235,3,217,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,3,2,greenapple,green apple,no,rgb,157,117,227,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,3,3,greenapple,green apple,no,rgb,206,49,107,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,3,4,greenapple,green apple,no,rgb,149,77,206,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,3,5,greenapple,green apple,no,rgb,209,176,145,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,3,6,greenapple,green apple,no,rgb,161,45,80,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),3,3,7,greenapple,green apple,no,rgb,197,149,176,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,0,0,midgreen,mid green,no,rgb,177,49,179,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,0,1,midgreen,mid green,no,rgb,169,114,139,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,0,2,midgreen,mid green,no,rgb,91,97,134,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,0,3,midgreen,mid green,no,rgb,187,160,224,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,0,4,midgreen,mid green,no,rgb,127,112,225,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,0,5,midgreen,mid green,no,rgb,225,192,128,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,0,6,midgreen,mid green,no,rgb,198,193,180,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,0,7,midgreen,mid green,no,rgb,194,110,236,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,1,0,red,red,no,rgb,177,49,179,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,1,1,red,red,no,rgb,169,114,139,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,1,2,red,red,no,rgb,91,97,134,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,1,3,red,red,no,rgb,187,160,224,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,1,4,red,red,no,rgb,127,112,225,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,1,5,red,red,no,rgb,225,192,128,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,1,6,red,red,no,rgb,198,193,180,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,1,7,red,red,no,rgb,194,110,236,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,2,0,fuchsia,fuschia,yes,rgb,177,49,179,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,2,1,fuchsia,fuschia,no,rgb,169,114,139,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,2,2,fuchsia,fuschia,no,rgb,91,97,134,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,2,3,fuchsia,fuschia,no,rgb,187,160,224,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,2,4,fuchsia,fuschia,somewhat,rgb,127,112,225,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,2,5,fuchsia,fuschia,no,rgb,225,192,128,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,2,6,fuchsia,fuschia,no,rgb,198,193,180,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,2,7,fuchsia,fuschia,somewhat,rgb,194,110,236,full,2.0.2,en,en,white
99671fc3-dfdf-4b4c-8e03-2e70eba5201d,en,English (English),5,3,0,orange,orange,no,rgb,177,49,179,full,2.0.2,en,en,white
