participantId,date,ipCountry,locale,retake,gender,countryGrow,countryLive,multinational,country1,country2,country3,country4,country5,education,lang0,lang1,fluency1,lang2,fluency2,age,colorBlindness,colorBlindnessOther,colorWork,colorWorkDetails,readingAboutColor,surroundingBrightness,surroundingBrightIDK,monitorBrightness,monitorBrightIDK,backgroundColor,displayColorSpace
3182,2016,,,no,female,,,yes,,,,,,postdoctoral,English,Spanish,3,,0,32,none,,no,,,,false,,false,white,rgb
3183,2016,,,no,male,,,no,,,,,,college,English,Japanese,3,,0,27,none,,no,,,,false,,false,white,rgb
3185,2016,,,no,female,,,no,,,,,,PhD,English,Tamil,1,,0,28,none,,no,,,,false,,false,white,rgb
3189,2016,,,no,male,,,no,,,,,,college,English,,0,,0,32,none,,no,,,,false,,false,white,rgb
3191,2016,,,no,female,,,no,,,,,,college,English,German,3,Tagalog,3,30,none,,no,,,,false,,false,white,rgb
3194,2016,,,no,male,,,no,,,,,,graduate school,English,French,2,Greek�(modern),3,25,none,,no,,,,false,,false,white,rgb
3197,2016,,,no,male,,,yes,,,,,,graduate school,Chinese,English,0,,0,35,none,,no,,,,false,,false,white,rgb
3199,2016,,,no,female,,,no,,,,,,college,English,Spanish,3,,0,33,none,,yes,Photographer,,,false,,false,white,rgb
3200,2016,,,no,female,,,yes,,,,,,college,English,French,2,,0,24,,,yes,"Fashion design,",,,false,,false,white,rgb
3201,2016,,,no,female,,,yes,,,,,,college,English,Spanish,2,,0,25,none,,yes,Graphic Designer,,,true,,true,white,rgb
3203,2016,,,no,female,,,yes,,,,,,college,Korean,English,0,Japanese,2,27,none,,no,,,,false,,false,white,rgb
3204,2016,,,no,female,,,no,,,,,,graduate school,English,German,2,French,3,27,none,,no,,,,false,,false,white,rgb
3205,2016,,,no,male,,,no,,,,,,graduate school,English,,0,,0,59,,,no,,,,false,,false,white,rgb
3206,2016,,,no,female,,,yes,,,,,,college,English,Spanish,2,,0,25,none,,yes,Graphic Designer ,,,true,,true,white,rgb
3207,2016,,,no,male,,,yes,,,,,,PhD,English,,0,,0,24,none,,no,,,,false,,false,white,rgb
3211,2016,,,no,male,,,no,,,,,,college,English,,0,,0,32,none,,no,,,,false,,false,white,rgb
3213,2016,,,no,male,,,yes,,,,,,professional school,English,Chinese,0,Malay,3,34,none,,no,,,,false,,false,white,rgb
3215,2016,,,no,male,,,yes,,,,,,college,Korean,English,1,,0,31,none,,no,,,,false,,false,white,rgb
3216,2016,,,no,female,,,yes,,,,,,graduate school,English,,0,,0,30,none,,no,,,,true,,true,white,rgb
3218,2016,,,no,male,,,yes,,,,,,PhD,English,Korean,0,Japanese,2,25,none,,no,,,,false,,false,white,rgb
3219,2016,,,no,female,,,no,,,,,,PhD,English,Spanish,2,,0,28,,,no,,,,true,,true,white,rgb
3220,2016,,,no,female,,,yes,,,,,,PhD,Korean,English,0,,0,27,none,,no,,,,false,,false,white,rgb
3221,2016,,,no,female,,,no,,,,,,college,English,,0,,0,63,none,,yes,Studied drawing & painting ,,,false,,false,white,rgb
3224,2016,,,no,female,,,no,,,,,,PhD,English,,0,,0,33,none,,no,,,,false,,false,white,rgb
3226,2016,,,no,other,,,no,,,,,,college,English,French,3,,0,26,none,,no,,,,false,,false,white,rgb
3227,2016,,,no,female,,,no,,,,,,PhD,English,Hebrew�(modern),1,Japanese,3,25,none,,no,,,,false,,false,white,rgb
3228,2016,,,no,other,,,no,,,,,,college,English,,0,,0,42,,,no,,,,false,,false,white,rgb
3229,2016,,,no,female,,,no,,,,,,PhD,English,Spanish,2,German,3,61,none,,no,,,,false,,false,white,rgb
3231,2016,,,no,male,,,no,,,,,,college,English,French,1,,0,27,red-green,,no,,,,true,,true,white,rgb
3232,2016,,,no,female,,,yes,,,,,,graduate school,English,Spanish,2,Chinese,1,29,none,,no,,,,false,,false,white,rgb
3237,2016,,,no,female,,,yes,,,,,,postdoctoral,English,French,0,,0,36,none,,no,,,,false,,false,white,rgb
3240,2016,,,no,male,,,yes,,,,,,graduate school,Thai,English,0,,0,30,,,no,,,,false,,false,white,rgb
3241,2016,,,no,female,,,no,,,,,,PhD,English,Spanish,1,Russian,3,29,none,,no,,,,false,,false,white,rgb
3244,2016,,,no,male,,,no,,,,,,college,English,,0,,0,26,,,yes,"Graphic Designer, Web Coder (HEX values).",,,false,,false,white,rgb
3252,2016,,,no,male,,,no,,,,,,graduate school,Korean,,0,,0,26,,,no,,,,false,,false,white,rgb
3255,2016,,,no,female,,,yes,,,,,,graduate school,English,Spanish,0,Tajik,2,28,none,,no,,,,false,,false,white,rgb
3256,2016,,,no,other,,,no,,,,,,graduate school,English,Spanish,1,,0,29,,,yes,Artist Teacher,,,false,,false,white,rgb
3261,2016,,,yes,male,,,yes,,,,,,PhD,Korean,English,0,,0,34,none,,no,,,,false,,false,white,rgb
3268,2016,,,no,male,,,no,,,,,,college,Korean,English,3,,0,37,other,,no,,,,false,,false,white,rgb
3269,2016,,,no,female,,,no,,,,,,graduate school,English,,0,,0,35,,,no,,,,false,,false,white,rgb
3272,2016,,,no,male,,,no,,,,,,college,Korean,,0,,0,37,,,no,,,,false,,false,white,rgb
3273,2016,,,no,female,,,no,,,,,,postdoctoral,English,French,2,Spanish,2,51,none,,no,,,,false,,false,white,rgb
3276,2016,,,no,female,,,yes,,,,,,high school,English,Khmer,1,Spanish,3,35,none,,no,,,,false,,false,white,rgb
3279,2016,,,no,male,,,yes,,,,,,graduate school,English,Chinese,1,,0,35,none,,no,,,,false,,false,white,rgb
3283,2016,,,no,female,,,yes,,,,,,graduate school,English,Russian,0,French,1,35,none,,no,,,,false,,false,white,rgb
3285,2016,,,no,female,,,no,,,,,,college,English,,0,,0,26,none,,no,,,,false,,false,white,rgb
3286,2016,,,no,female,,,yes,,,,,,PhD,English,Korean,0,,0,34,none,,no,,,,false,,false,white,rgb
3288,2016,,,no,other,,,no,,,,,,college,English,Spanish,3,Japanese,3,22,none,,yes,I work in a fabric store,,,false,,false,white,rgb
3292,2016,,,no,female,,,yes,,,,,,graduate school,English,Chinese,1,Spanish,1,35,none,,no,,,,false,,false,white,rgb
3293,2016,,,no,female,,,yes,,,,,,PhD,English,Spanish,0,Portuguese,1,27,none,,no,,,,false,,false,white,rgb
3295,2016,,,no,female,,,yes,,,,,,graduate school,English,,0,,0,25,none,,no,,,,false,,false,white,rgb
3296,2016,,,no,female,,,yes,,,,,,graduate school,English,,0,,0,30,,,no,,,,false,,false,white,rgb
3297,2016,,,no,female,,,no,,,,,,professional school,English,,0,,0,27,none,,no,,,,false,,true,white,rgb
3301,2016,,,no,female,,,no,,,,,,graduate school,English,Spanish,3,German,3,30,none,,no,,,,false,,false,white,rgb
3302,2016,,,no,female,,,no,,,,,,college,English,Spanish,3,German,3,27,none,,no,,,,false,,false,white,rgb
3303,2016,,,no,female,,,no,,,,,,graduate school,English,,0,,0,41,none,,no,,,,false,,false,white,rgb
3305,2016,,,no,female,,,no,,,,,,PhD,Korean,,0,,0,33,none,,no,,,,false,,false,white,rgb
3306,2016,,,no,female,,,yes,,,,,,college,English,Chinese,2,Tagalog,3,30,none,,no,,,,false,,false,white,rgb
3309,2016,,,no,male,,,no,,,,,,college,English,,0,,0,47,red-green,,yes,,,,false,,false,white,rgb
3310,2016,,,no,female,,,no,,,,,,graduate school,English,Spanish,3,,0,31,none,,no,,,,false,,false,white,rgb
3311,2016,,,no,female,,,yes,,,,,,postdoctoral,English,,0,,0,40,,,no,,,,false,,false,white,rgb
3312,2016,,,no,female,,,no,,,,,,graduate school,English,Spanish,3,Hebrew�(modern),3,26,none,,no,,,,false,,false,white,rgb
3313,2016,,,no,female,,,no,,,,,,graduate school,English,,0,,0,25,,,no,,,,false,,false,white,rgb
3316,2016,,,no,female,,,yes,,,,,,college,English,Spanish,0,,0,38,none,,no,,,,false,,false,white,rgb
3317,2016,,,no,female,,,yes,,,,,,PhD,English,Russian,0,,0,32,,,no,,,,false,,false,white,rgb
3319,2016,,,no,female,,,yes,,,,,,college,English,Dutch,1,,0,26,,,no,,,,false,,false,white,rgb
3321,2016,,,no,female,,,yes,,,,,,college,English,Spanish,3,,0,24,,,no,,,,false,,false,white,rgb
3323,2016,,,no,female,,,no,,,,,,college,English,Spanish,0,,0,29,none,,no,,,,false,,true,white,rgb
3324,2016,,,no,female,,,no,,,,,,college,English,Spanish,1,,0,30,none,,no,,,,false,,false,white,rgb
3328,2016,,,no,male,,,yes,,,,,,graduate school,English,Chinese,2,,0,25,,,no,,,,true,,true,white,rgb
3338,2016,,,no,female,,,no,,,,,,college,English,German,3,Spanish,3,40,none,,no,,,,false,,false,white,rgb
3339,2016,,,no,female,,,yes,,,,,,graduate school,English,Chinese,3,,0,23,,,no,,,,false,,false,white,rgb
3342,2016,,,no,female,,,no,,,,,,professional school,English,Spanish,3,,0,25,,,no,,,,false,,false,white,rgb
3345,2016,,,no,female,,,yes,,,,,,graduate school,English,Spanish,0,French,3,26,none,,no,,,,false,,false,white,rgb
3346,2016,,,no,female,,,yes,,,,,,graduate school,English,Chinese,1,Spanish,3,34,none,,no,,,,false,,false,white,rgb
3348,2016,,,no,female,,,no,,,,,,college,English,,0,,0,31,,,no,,,,false,,false,white,rgb
3349,2016,,,no,female,,,no,,,,,,college,English,,0,,0,27,none,,yes,graphic designer,,,false,,false,white,rgb
3350,2016,,,no,female,,,no,,,,,,professional school,English,,0,,0,29,,,yes,Painter,,,false,,false,white,rgb
3353,2016,,,no,female,,,yes,,,,,,college,English,Chinese,3,,0,35,none,,no,,,,false,,false,white,rgb
3354,2016,,,no,female,,,yes,,,,,,PhD,English,Korean,2,Spanish,0,27,none,,no,,,,true,,true,white,rgb
3355,2016,,,no,female,,,yes,,,,,,college,Russian,Hebrew�(modern),0,Spanish,1,24,none,,no,,,,false,,true,white,rgb
3357,2016,,,no,female,,,yes,,,,,,PhD,Turkish,English,1,,0,30,none,,no,,,,false,,true,white,rgb
3358,2016,,,no,female,,,no,,,,,,graduate school,English,Spanish,3,French,3,30,none,,no,,,,false,,false,white,rgb
3359,2016,,,no,female,,,no,,,,,,graduate school,Korean,,0,,0,26,,,no,,,,false,,false,white,rgb
3360,2016,,,yes,female,,,no,,,,,,college,English,,0,,0,55,,,no,,,,false,,false,white,rgb
3361,2016,,,no,female,,,no,,,,,,high school,English,,0,,0,41,none,,no,,,,false,,false,white,rgb
3363,2016,,,no,female,,,yes,,,,,,graduate school,Chinese,English,0,Korean,3,28,none,,no,,,,false,,false,white,rgb
3364,2016,,,no,female,,,no,,,,,,graduate school,English,Spanish,1,,0,27,none,,no,,,,false,,false,white,rgb
3365,2016,,,no,female,,,no,,,,,,graduate school,English,,0,,0,25,none,,no,,,,false,,false,white,rgb
3367,2016,,,no,female,,,yes,,,,,,professional school,English,French,3,,0,24,none,,no,,,,false,,false,white,rgb
3368,2016,,,no,female,,,no,,,,,,graduate school,English,Spanish,3,,0,24,none,,no,,,,false,,false,white,rgb
3369,2016,,,no,male,,,no,,,,,,PhD,English,French,2,Spanish,1,26,none,,no,,,,false,,false,white,rgb
3370,2016,,,no,female,,,no,,,,,,professional school,English,,0,,0,36,none,,no,,,,false,,false,white,rgb
3373,2016,,,no,male,,,no,,,,,,college,English,German,3,Spanish,3,33,none,,no,,,,false,,false,white,rgb
3375,2016,,,no,female,,,no,,,,,,graduate school,English,Spanish,3,,0,29,,,no,,,,false,,false,white,rgb
3378,2016,,,no,female,,,no,,,,,,college,English,English,0,French,3,35,none,,no,,,,false,,true,white,rgb
3379,2016,,,no,female,,,yes,,,,,,PhD,Chinese,English,0,Japanese,2,33,none,,no,,,,false,,false,white,rgb
3380,2016,,,no,female,,,yes,,,,,,graduate school,English,Wolof,0,,0,31,,,no,,,,false,,false,white,rgb
3383,2016,,,no,female,,,no,,,,,,college,Thai,English,2,,0,25,none,,yes,Dentist,,,false,,false,white,rgb
3386,2016,,,no,male,,,no,,,,,,college,English,,0,,0,60,none,,no,,,,true,,false,white,rgb
3391,2016,,,no,female,,,yes,,,,,,graduate school,Korean,English,1,French,3,25,none,,no,,,,true,,true,white,rgb
3396,2016,,,no,female,,,no,,,,,,PhD,English,Spanish,3,,0,27,none,,no,,,,false,,false,white,rgb
3397,2016,,,no,female,,,no,,,,,,college,English,,0,,0,35,none,,no,,,,false,,false,white,rgb
3400,2016,,,no,female,,,no,,,,,,graduate school,Korean,,0,,0,25,,,no,,,,true,,true,white,rgb
3403,2016,,,no,male,,,no,,,,,,college,English,,0,,0,25,none,,no,,,,false,,false,white,rgb
3404,2016,,,no,female,,,no,,,,,,graduate school,English,,0,,0,30,none,,no,,,,false,,false,white,rgb
3405,2016,,,no,female,,,yes,,,,,,college,English,Spanish,3,,0,22,none,,no,,,,false,,false,white,rgb
3406,2016,,,no,male,,,yes,,,,,,college,Chinese,English,0,,0,22,none,,no,,,,false,,false,white,rgb
3407,2016,,,no,female,,,no,,,,,,graduate school,English,French,3,Spanish,3,35,none,,no,,,,false,,false,white,rgb
3409,2016,,,no,female,,,no,,,,,,PhD,English,,0,,0,32,none,,no,,,,false,,false,white,rgb
3412,2016,,,no,female,,,yes,,,,,,college,English,,0,,0,51,,,no,,,,false,,false,white,rgb
3417,2016,,,no,female,,,no,,,,,,PhD,English,,0,,0,32,none,,no,,,,false,,false,white,rgb
3421,2016,,,no,female,,,no,,,,,,graduate school,English,Spanish,2,,0,33,none,,no,,,,false,,false,white,rgb
3422,2016,,,no,female,,,yes,,,,,,graduate school,Korean,English,0,Chinese,3,28,none,,no,,,,false,,false,white,rgb
3423,2016,,,no,male,,,no,,,,,,graduate school,Korean,English,1,French,3,31,none,,no,,,,false,,false,white,rgb
3426,2016,,,no,male,,,no,,,,,,graduate school,English,Spanish,2,,0,39,other,,yes,,,,false,,false,white,rgb
3427,2016,,,no,male,,,no,,,,,,graduate school,English,,0,,0,33,none,,no,,,,false,,false,white,rgb
3428,2016,,,no,female,,,no,,,,,,graduate school,English,French,3,,0,29,none,,no,,,,false,,true,white,rgb
3431,2016,,,no,male,,,yes,,,,,,PhD,Korean,,0,,0,35,,,no,,,,false,,false,white,rgb
3432,2016,,,no,female,,,no,,,,,,college,English,,0,,0,21,,,no,,,,false,,false,white,rgb
3434,2016,,,no,female,,,no,,,,,,graduate school,English,Spanish,3,,0,32,none,,no,,,,false,,false,white,rgb
3435,2016,,,no,female,,,yes,,,,,,PhD,Korean,English,0,French,2,26,none,,no,,,,true,,true,white,rgb
3442,2016,,,no,male,,,yes,,,,,,PhD,French,Dutch,0,English,0,22,none,,no,,,,false,,false,white,rgb
3446,2016,,,no,female,,,no,,,,,,college,English,,0,,0,45,none,,no,,,,false,,false,white,rgb
3449,2016,,,no,female,,,no,,,,,,college,English,,0,,0,27,,,no,,,,false,,false,white,rgb
3451,2016,,,no,male,,,no,,,,,,high school,English,,0,,0,33,none,,no,,,,false,,false,white,rgb
3453,2016,,,no,male,,,no,,,,,,college,English,French,3,,0,38,none,,no,,,,false,,false,white,rgb
3454,2016,,,no,male,,,no,,,,,,college,English,Chinese,2,,0,37,none,,no,,,,false,,false,white,rgb
3456,2016,,,no,female,,,yes,,,,,,college,English,German,0,Spanish,0,19,none,,no,,,,false,,false,white,rgb
3459,2016,,,no,female,,,yes,,,,,,graduate school,English,Spanish,3,,0,63,none,,no,,,,false,,false,white,rgb
3460,2016,,,no,other,,,no,,,,,,professional school,English,,0,,0,22,,,yes,Hair Dressing,,,false,,false,white,rgb
3461,2016,,,no,female,,,no,,,,,,high school,English,,0,,0,36,none,,no,,,,false,,false,white,rgb
3467,2016,,,no,male,,,no,,,,,,professional school,English,French,2,Spanish,2,30,none,,no,,,,false,,false,white,rgb
3468,2016,,,no,male,,,no,,,,,,graduate school,English,Latin,3,,0,34,none,,no,,,,false,,false,white,rgb
3469,2016,,,no,female,,,no,,,,,,graduate school,English,,0,,0,25,,,no,,,,false,,false,white,rgb
3470,2016,,,no,female,,,yes,,,,,,graduate school,English,Spanish,0,,0,29,none,,no,,,,false,,false,white,rgb
3472,2016,,,no,female,,,no,,,,,,college,English,Spanish,3,,0,31,none,,no,,,,false,,false,white,rgb
3473,2016,,,no,female,,,yes,,,,,,college,English,,0,,0,38,none,,yes,Seamstress,,,false,,true,white,rgb
3482,2016,,,no,male,,,no,,,,,,PhD,Korean,English,1,Japanese,3,31,none,,no,,,,false,,false,white,rgb
3483,2016,,,no,male,,,yes,,,,,,PhD,Korean,English,0,Japanese,3,33,none,,no,,,,false,,false,white,rgb
3484,2016,,,no,female,,,yes,,,,,,PhD,Korean,English,0,,0,27,,,no,,,,false,,false,white,rgb
3485,2016,,,no,female,,,no,,,,,,college,English,,0,,0,26,none,,no,,,,true,,false,white,rgb
3489,2016,,,no,female,,,yes,,,,,,graduate school,Korean,English,1,,0,32,none,,no,,,,false,,false,white,rgb
3494,2016,,,no,female,,,no,,,,,,college,English,Spanish,3,,0,30,none,,no,,,,false,,false,white,rgb
3498,2016,,,no,male,,,no,,,,,,college,English,French,0,,0,31,none,,no,,,,false,,false,white,rgb
3500,2016,,,no,female,,,no,,,,,,college,Korean,,0,,0,31,none,,no,,,,false,,false,white,rgb
3503,2016,,,no,female,,,no,,,,,,college,English,Chinese,2,French,3,33,none,,yes,I design wigs and create colors for them,,,false,,false,white,rgb
3508,2016,,,no,female,,,yes,,,,,,graduate school,German,English,0,Spanish,2,24,none,,no,,,,false,,false,white,rgb
3509,2016,,,no,female,,,yes,,,,,,college,Spanish,English,0,German,3,28,none,,no,,,,false,,false,white,rgb
3514,2016,,,no,male,,,yes,,,,,,graduate school,English,,0,,0,32,none,,no,,,,false,,false,white,rgb
3515,2016,,,no,male,,,yes,,,,,,graduate school,English,Armenian,2,,0,28,none,,no,,,,false,,false,white,rgb
3517,2016,,,no,male,,,no,,,,,,college,English,Chinese,2,,0,37,none,,no,,,,false,,false,white,rgb
3518,2016,,,no,male,,,no,,,,,,graduate school,English,Spanish,3,,0,25,none,,no,,,,false,,false,white,rgb
3521,2016,,,no,female,,,no,,,,,,college,English,,0,,0,40,,,yes,I've used a lot of paint.,,,false,,false,white,rgb
3523,2016,,,no,female,,,no,,,,,,college,English,,0,,0,36,,,no,,,,false,,false,white,rgb
3524,2016,,,no,female,,,no,,,,,,college,English,,0,,0,28,none,,no,,,,false,,false,white,rgb
3528,2016,,,no,female,,,yes,,,,,,college,English,,0,,0,31,none,,no,,,,true,,true,white,rgb
3532,2016,,,no,female,,,no,,,,,,graduate school,English,Spanish,3,,0,37,none,,no,,,,false,,false,white,rgb
3535,2016,,,no,female,,,no,,,,,,college,English,,0,,0,41,,,no,,,,false,,false,white,rgb
3540,2016,,,no,male,,,yes,,,,,,graduate school,German,English,0,Italian,2,27,none,,no,,,,false,,false,white,rgb
3542,2016,,,no,female,,,no,,,,,,professional school,German,,0,,0,53,none,,no,,,,false,,false,white,rgb
3543,2016,,,no,male,,,no,,,,,,college,English,,0,,0,61,none,,no,,,,false,,false,white,rgb
3544,2016,,,no,female,,,no,,,,,,graduate school,English,,0,,0,33,none,,no,,,,false,,false,white,rgb
3546,2016,,,no,female,,,no,,,,,,college,English,,0,,0,29,none,,no,,,,false,,false,white,rgb
3548,2016,,,no,male,,,yes,,,,,,college,English,Hindi,3,,0,27,red-green,,no,,,,false,,false,white,rgb
3549,2016,,,no,female,,,no,,,,,,graduate school,English,German,2,Spanish,3,31,none,,no,,,,false,,false,white,rgb
3551,2016,,,no,female,,,yes,,,,,,graduate school,English,Spanish,1,Greek�(modern),3,42,none,,no,,,,false,,false,white,rgb
3553,2016,,,no,male,,,yes,,,,,,college,English,,0,,0,25,,,no,,,,false,,false,white,rgb
3555,2016,,,no,female,,,no,,,,,,PhD,Korean,,0,,0,30,none,,no,,,,false,,false,white,rgb
3556,2016,,,no,female,,,no,,,,,,college,English,,0,,0,27,none,,no,,,,false,,false,white,rgb
3559,2016,,,yes,female,,,no,,,,,,college,English,,0,,0,55,none,,no,,,,false,,false,white,rgb
3560,2016,,,no,female,,,no,,,,,,graduate school,English,French,2,Hungarian,3,30,none,,yes,I am a graphic designer.,,,false,,false,white,rgb
3561,2016,,,no,female,,,no,,,,,,college,English,,0,,0,44,,,no,,,,false,,false,white,rgb
3563,2016,,,no,female,,,no,,,,,,college,English,,0,,0,67,,,no,,,,false,,false,white,rgb
3564,2016,,,no,female,,,yes,,,,,,graduate school,English,,0,,0,29,,,yes,Graphic desig,,,false,,false,white,rgb
3565,2016,,,no,female,,,no,,,,,,college,English,French,2,Spanish,3,24,none,,yes,Geographic Data Analysis- making maps and other graphics with graduated color scales,,,false,,false,white,rgb
3566,2016,,,no,female,,,no,,,,,,college,English,,0,,0,52,none,,no,,,,false,,false,white,rgb
3567,2016,,,no,female,,,yes,,,,,,graduate school,Polish,English,0,French,1,38,none,,no,,,,false,,false,white,rgb
3568,2016,,,no,female,,,no,,,,,,college,English,,0,,0,25,none,,no,,,,false,,false,white,rgb
3574,2016,,,no,female,,,yes,,,,,,graduate school,English,,0,,0,72,,,yes,,,,true,,true,white,rgb
3575,2016,,,no,female,,,no,,,,,,college,English,,0,,0,56,,,no,,,,false,,false,white,rgb
3579,2016,,,no,female,,,no,,,,,,college,English,Spanish,3,,0,28,none,,no,,,,false,,false,white,rgb
3580,2016,,,no,female,,,no,,,,,,college,English,,0,,0,32,none,,no,,,,true,,true,white,rgb
3582,2016,,,no,male,,,yes,,,,,,PhD,Norwegian Bokm�l,English,0,German,3,35,none,,no,,,,false,,true,white,rgb
3584,2016,,,no,female,,,no,,,,,,college,English,French,3,,0,31,none,,no,,,,false,,false,white,rgb
3588,2016,,,no,female,,,no,,,,,,graduate school,English,French,2,,0,32,none,,no,,,,false,,true,white,rgb
3591,2016,,,no,female,,,no,,,,,,PhD,English,,0,,0,46,none,,no,,,,false,,false,white,rgb
3592,2016,,,no,female,,,yes,,,,,,college,English,Spanish,2,,0,35,,,no,,,,false,,false,white,rgb
3593,2016,,,no,female,,,no,,,,,,college,English,French,3,,0,36,,,no,,,,false,,false,white,rgb
3597,2016,,,no,male,,,yes,,,,,,PhD,Korean,English,0,,0,30,none,,no,,,,false,,false,white,rgb
3598,2016,,,no,female,,,no,,,,,,college,English,,0,,0,30,,,no,,,,false,,false,white,rgb
3600,2016,,,no,female,,,no,,,,,,college,English,French,3,,0,25,none,,yes,Painting,,,false,,false,white,rgb
3603,2016,,,no,female,,,yes,,,,,,professional school,English,French,0,Kinyarwanda,3,30,none,,no,,,,false,,false,white,rgb
3604,2016,,,no,female,,,no,,,,,,graduate school,Polish,English,0,Russian,2,25,,,no,,,,false,,false,white,rgb
3605,2016,,,no,female,,,no,,,,,,graduate school,English,,0,,0,28,,,no,,,,false,,true,white,rgb
3606,2016,,,no,female,,,no,,,,,,college,English,,0,,0,24,none,,yes,Graphic+web design/photography/merchandise management,,,false,,false,white,rgb
3607,2016,,,no,female,,,no,,,,,,graduate school,Polish,English,0,German,3,23,none,,no,,,,false,,false,white,rgb
3608,2016,,,no,female,,,no,,,,,,college,English,Spanish,2,,0,22,,,no,,,,true,,true,white,rgb
3609,2016,,,no,male,,,no,,,,,,college,English,,0,,0,52,none,,yes,Photography and video for corporate public relations,,,false,,false,white,rgb
3610,2016,,,no,female,,,no,,,,,,graduate school,English,,0,,0,50,none,,no,,,,false,,true,white,rgb
3611,2016,,,no,female,,,no,,,,,,high school,English,Spanish,2,,0,18,none,,no,,,,false,,false,white,rgb
3612,2016,,,no,female,,,no,,,,,,graduate school,English,French,3,,0,56,,,no,,,,false,,false,white,rgb
3614,2016,,,no,male,,,no,,,,,,college,English,,0,,0,37,,,no,,,,true,,true,white,rgb
3618,2016,,,no,female,,,yes,,,,,,graduate school,English,French,3,,0,43,,,no,,,,false,,false,white,rgb
3619,2016,,,no,female,,,no,,,,,,college,English,Spanish,3,,0,27,none,,no,,,,false,,false,white,rgb
3621,2016,,,no,male,,,no,,,,,,college,English,,0,,0,31,red-green,,no,,,,false,,false,white,rgb
3623,2016,,,no,female,,,no,,,,,,college,English,,0,,0,26,none,,no,,,,true,,true,white,rgb
3626,2016,,,no,male,,,no,,,,,,graduate school,English,,0,,0,59,none,,no,,,,false,,false,white,rgb
3627,2016,,,no,female,,,no,,,,,,college,English,,0,,0,32,none,,no,,,,false,,false,white,rgb
3629,2016,,,no,female,,,no,,,,,,college,English,Spanish,3,,0,52,none,,yes,"Cartoonist, illustrator",,,false,,false,white,rgb
3634,2016,,,yes,female,,,no,,,,,,college,English,Spanish,3,,0,52,none,,yes,Cartoonist/illustator,,,false,,false,white,rgb
